salary,post,locate
3-4.5千/月,初级Python开发助理,深圳-宝安区
1-1.5万/月,Python开发工程师,深圳-南山区
1-2万/月,Python软件工程师,深圳-罗湖区
2-3万/月,Python高级开发工程师,深圳-南山区
1.5-2.5万/月,Python后台开发工程师,深圳
0.8-1.5万/月,Python开发工程师,深圳
1-1.5万/月,Python技术工程师,深圳-福田区
0.8-1.2万/月,Python程序员,深圳-福田区
1-1.6万/月,Python开发工程师/互联网工程师,深圳
1-1.5万/月,Python程序员 开发工程师 软件工程师,深圳-龙岗区
5.5-7千/月,Python开发工程师（初级）,深圳
1-2万/月,Python开发工程师,深圳
1.2-1.8万/月,游戏服务端Python开发工程师,深圳-宝安区
0.8-1.6万/月,软件开发工程师(Python数据爬虫),深圳-南山区
1-2万/月,Python游戏服务端开发工程师,深圳-宝安区
15-20万/年,Python工程师（爬虫方向）,深圳-南山区
1.5-2.2万/月,Python开发工程师,深圳-南山区
3-4.5千/月,Python开发助理（可实习）,深圳
0.7-1.5万/月,Python开发工程师,深圳
0.8-1.2万/月,Python开发工程师,深圳
1-2万/月,python开发工程师,深圳
1-3万/月,Python后台开发工程师,深圳-宝安区
1-1.5万/月,Python开发工程师,深圳-南山区
1.5-2万/月,Python开发工程师,深圳-南山区
0.8-1.5万/月,Python开发工程师,深圳-南山区
0.8-1.6万/月,Python软件开发工程师,深圳
0.8-1万/月,大数据/python技术支持老师,深圳
0.8-1.5万/月,软件开发工程师（C#/python）,深圳
0.8-1.5万/月,Python后端开发工程师,异地招聘
1.5-3万/月,Python开发工程师（深圳）,深圳-福田区
1-2万/月,Python开发工程师（包住+五险一金）,深圳-南山区
1-1.5万/月,Python高级开发工程师,异地招聘
1.5-2万/月,Python高级开发工程师,深圳-南山区
1.2-2万/月,Python工程师,深圳
1-1.5万/月,Python大数据工程师,深圳-南山区
1.5-1.8万/月,运维工程师—python方向,深圳-南山区
1.5-2.5万/月,高级研发工程师（Python方向）,深圳-南山区
1.5-2.5万/月,Python开发工程师,深圳-龙岗区
1.3-2.3万/月,Python高级开发工程师,深圳-龙华新区
1-1.5万/月,Python开发工程师,深圳-南山区
1.5-3.5万/月,Python开发工程师,深圳-宝安区
1-1.5万/月,Python爬虫工程师,深圳
1.2-2.5万/月,C++/Python/QT软件工程师,深圳-南山区
1-1.5万/月,PHP、Java、Python后台开发工程师,异地招聘
1-1.5万/月,Python 后台工程师,深圳-龙华新区
1.5-2万/月,Python开发J15588,深圳-福田区
0.6-1万/月,Python(RPA)实施开发工程师（软件）,深圳
0.6-1.5万/月,Python开发工程师,深圳
1-2万/月,Python开发工程师—新材料促进中心,深圳
1-2万/月,Python开发工程师,深圳
1.8-2.5万/月,Python开发工程师,深圳
1.5-3.5万/月,Python高级开发工程师,深圳
1-1.5万/月,后台开发工程师（C++，Python，go）,深圳-南山区
1.5-2.5万/月,GO+Python,深圳-南山区
2-2.5万/月,Python开发工程师,深圳-南山区
1.3-2.5万/月,Python后端工程师,深圳
3.5-7千/月,Python开发工程师,深圳
1.5-2.5万/月,Python高级DevOps工程师,深圳-南山区
0.6-1万/月,Python开发工程师,深圳
1-1.5万/月,Python,深圳-南山区
1-1.5万/月,python+postgreSQL 社交商城开发,深圳-宝安区
1-2万/月,Python开发工程师（后端开发）,深圳
1-2万/月,Python开发工程师,深圳-南山区
1.5-3万/月,Python讲师,深圳-宝安区
2.4-3.3万/月,Python后台高级开发经理,深圳-南山区
0.6-1.2万/月,Python工程师,深圳-罗湖区
1.5-2万/月,python爬虫工程师,深圳-南山区
1-1.5万/月,Python爬虫工程师,深圳-福田区
2-3万/月,高级Python开发工程师（深圳）,深圳-南山区
1-1.5万/月,Python工程师  爬虫  五险一金 包住 双休,深圳
1-2万/月,Python开发工程师,深圳
1-3万/月,python大数据开发工程师,深圳
1.2-2.4万/月,Python开发工程师,深圳-南山区
1.5-2.5万/月,Python爬虫工程师,深圳-南山区
0.8-1万/月,Python高级工程师,异地招聘
1-1.5万/月,python后台开发工程师,深圳-南山区
1.2-2万/月,Python就业指导专员,深圳-宝安区
1.7-2万/月,深圳市华馨智能科技—Python高级工程师,深圳-龙华新区
1.5-2万/月,Python高级开发工程师,深圳
1-2万/月,python工程师,深圳-南山区
1-1.5万/月,"后台开发工程师（Node, Python, Java, Go）",深圳
1.5-2万/月,PHP+Python软件工程师,深圳-龙岗区
1-2万/月,Python开发工程师,深圳-南山区
1-1.5万/月,python/lua开发,深圳-南山区
0.8-1万/月,[美国上市]Python技术支持老师,深圳-龙岗区
0.8-1.5万/月,Python开发工程师,深圳-南山区
0.5-1.2万/月,Python开发工程师,深圳-罗湖区
1-1.8万/月,python数据工程师,深圳-南山区
1.5-1.9万/月,Python开发工程师（国信证券-乙方）,深圳-罗湖区
0.6-1.2万/月,Python开发工程师,深圳
1-2万/月,Python高级开发工程师,深圳-南山区
1-1.5万/月,Python/c++,深圳-福田区
0.6-2万/月,Python+MySQL 后台开发工程师,深圳-龙华新区
1.3-1.8万/月,Python开发工程师,深圳-福田区
1.5-2万/月,系统开发工程师（python）,深圳
1-2万/月,Python 工程师,深圳-南山区
1-1.8万/月,Python开发工程师,深圳-福田区
4-6千/月,Python开发实习生,深圳
1-1.5万/月,Python应用开发工程师,深圳-南山区
1.8-3.5万/月,Python（高级&资深&leader）,深圳
4.5-6千/月,初级python开发工程师,深圳-福田区
0.8-2.5万/月,python游戏服务端开发工程师,深圳-南山区
1-2.2万/月,银行SAS/R/PYTHON数据分析挖掘建模岗,深圳
0.8-1.6万/月,Python开发工程师,深圳-南山区
0.6-1.2万/月,Python开发工程师,深圳-南山区
1.5-2万/月,云计算开发工程师（python）,深圳-南山区
1-1.5万/月,Python web programmer,深圳-福田区
1-1.5万/月,Python开发工程师,深圳-南山区
1.5-3万/月,大数据Python工程师,深圳-南山区
1-1.5万/月,后端python工程师,深圳-龙华新区
1-2万/月,Python数据工程师,深圳-福田区
15-20万/年,Python高级开发工程师,深圳
2-3万/月,资深Python工程师（深圳）,深圳
20-30万/年,Python,深圳
1.5-3万/月,资深Python开发工程师,深圳-龙华新区
0.6-1.2万/月,Python程序员 数据挖掘方向,深圳-福田区
1-1.5万/月,Python开发工程师,深圳
0.8-1.2万/月,高级软件工程师(Python),深圳-福田区
1.5-3万/月,C++量化开发/python,深圳-南山区
1.2-2万/月,Python开发工程师,深圳
1-2万/月,Python开发工程师,深圳-福田区
0.8-1.5万/月,Python研发工程师,深圳-南山区
1-1.5万/月,Python 工程师,深圳-南山区
1-1.5万/月,高级开发工程师（C++或Python）,深圳-南山区
1.5-3万/月,Python开发工程师,深圳-南山区
0.8-1.5万/月,Python开发工程师,深圳-龙岗区
1-1.5万/月,python 爬虫开发工程师,深圳-南山区
30-40万/年,C++/Python后台软件开发高级工程师,深圳-南山区
0.8-1.5万/月,Python工程师,深圳
1.2-2万/月,python（大数据 shell） Y,深圳-南山区
,25923-python后台开发工程师（深圳/上海）,深圳
1-1.5万/月,Python开发工程师,深圳-南山区
1-2.5万/月,python后台开发,深圳-福田区
1-2万/月,Python开发工程师,深圳-南山区
0.8-1.5万/月,Python开发工程师,深圳-南山区
1.2-1.7万/月,Python中级开发工程师,深圳-大鹏新区
1-1.8万/月,Python开发工程师,深圳
1-1.5万/月,Python开发工程师,深圳-南山区
1-1.5万/月,Python开发工程师,深圳
1-2万/月,python量化交易开发工程师,深圳-福田区
1.5-2.5万/月,PHP/python/java开发工程师,深圳-南山区
1.5-2.5万/月,Python后台开发,深圳-南山区
1-1.5万/月,Python开发工程师,异地招聘
6-8千/月,Python数据采集网络爬虫工程师,深圳-福田区
1-1.5万/月,odoo/Python开发工程师,深圳-南山区
1-2万/月,Python后端工程师,深圳
2.5-3.5万/月,Python工程师（国外）,异地招聘
1.5-2万/月,python讲师,深圳-宝安区
1-1.5万/月,Python开发工程师,深圳
1.8-3万/月,Python高级开发工程师,深圳-龙华新区
0.9-1.3万/月,python开发,深圳-福田区
1.2-1.8万/月,Python开发讲师,深圳-南山区
1-1.5万/月,Python开发工程师,深圳-福田区
0.6-1.5万/月,Python开发工程师,深圳
0.8-1.2万/月,双休爬虫开发工程师php开发工程师python开发工程师,深圳-龙岗区
6-8千/月,python/Django web开发工程师,深圳-罗湖区
1-2万/月,python开发工程师,深圳-南山区
0.8-1.2万/月,Python开发工程师,深圳
1-1.5万/月,Java开发工程师（Python）,深圳-南山区
1-2万/月,python 工程师-大数据方向,深圳
1-1.5万/月,Python高级开发工程师,深圳-南山区
1-3.5万/月,Python中高级工程师,深圳-南山区
1.5-2.5万/月,Python开发工程师,深圳-南山区
1-1.5万/月,Python开发工程师,深圳-福田区
1-1.5万/月,Python开发工程师,深圳-罗湖区
1-2万/月,Python开发工程师,深圳-南山区
4-8千/月,应用程序开发工程师（.NET、Python+安全开发大牛),深圳-福田区
1-1.5万/月,Python开发工程师,深圳-南山区
1.5-3万/月,python爬虫开发工程师,深圳-南山区
1.5-2万/月,Python开发工程师,深圳-龙华新区
1.2-1.8万/月,Python工程师-大数据方向,深圳-福田区
1-2.5万/月,Python/Django后台开发工程师,深圳-龙岗区
1.2-2万/月,数据分析工程师（python）,深圳-福田区
1.5-3万/月,Python后端工程师,深圳-福田区
1-1.5万/月,Python高级开发工程师,深圳-龙华新区
1.5-2万/月,Python/C++金融软件开发工程师,深圳-南山区
2-2.5万/月,Python开发工程师,深圳-南山区
1-1.5万/月,python开发工程师-深圳-03622,深圳
0.8-1.5万/月,python工程师,深圳-福田区
0.8-1.5万/月,高级Python开发工程师,深圳-罗湖区
2-4万/月,高级Python后端工程师,深圳-南山区
1.5-2万/月,python培训讲师（专***）,深圳-南山区
1-2万/月,Python全栈开发工程师,深圳-南山区
1.5-3万/月,Python Web开发工程师,深圳-南山区
2-3.5万/月,Python软件工程师,深圳-南山区
1-1.5万/月,Python开发工程师,深圳-福田区
0.6-1.5万/月,Python开发工程师,深圳-龙岗区
1-1.5万/月,Python开发工程师,深圳-南山区
0.7-1万/月,Python开发工程师,深圳-南山区
1-1.5万/月,Python开发工程师,深圳-福田区
6-8千/月,初级Python开发工程师,深圳-福田区
1.5-2万/月,Python开发工程师,深圳
1-1.5万/月,Python开发工程师,深圳-福田区
0.8-1.2万/月,Python工程师,异地招聘
1.2-2万/月,Python开发工程师,深圳
1-1.5万/月,软件测试工程师,深圳-龙岗区
1-1.5万/月,运维工程师,深圳-南山区
1.5-2万/月,C++服务端工程师,深圳
20-30万/年,渗透测试工程师,深圳-福田区
1-2万/月,高级爬虫工程师,深圳-南山区
1.2-2万/月,服务器工程师,深圳-南山区
1-1.5万/月,测试工程师,深圳-南山区
1.5-2.5万/月,系统运维工程师,深圳-南山区
1-1.5万/月,运维工程师,深圳-龙岗区
0.8-1万/月,测试助教/讲师,深圳-龙华新区
1-1.5万/月,软件工程师（3D打印机方向）,深圳
6-8千/月,网络工程师,深圳-南山区
0.8-1.6万/月,软件测试工程师,深圳-福田区
1-1.8万/月,网络安全运营工程师,深圳-福田区
1-1.8万/月,网络安全运营工程师,深圳-福田区
3-5万/月,AGV特种机器人研发经理,深圳-南山区
1.5-2.5万/月,AI安全研究员,深圳-南山区
0.6-1.2万/月,运维工程师,深圳-南山区
1-1.5万/月,I0S开发工程师,异地招聘
2.5-3万/月,图像算法工程师（规划院）,深圳-坪山区
0.8-1.5万/月,大数据开发工程师,异地招聘
1-1.5万/月,业务运维工程师,深圳-南山区
1.5-2万/月,区块链开发工程师,深圳-南山区
1-1.5万/月,数据分析师,深圳-南山区
1.2-1.7万/月,运维工程师,深圳-南山区
3-5万/月,技术专家,深圳-南山区
50-100万/年,大数据专家（博士）,异地招聘
1-1.5万/月,产品经理,深圳-南山区
0.8-1.4万/月,自动化测试工程师,深圳-福田区
1.5-2万/月,机器学习算法工程师,深圳-南山区
1.5-2万/月,大数据开发工程师,深圳
0.8-1.2万/月,C/C++软件工程师,深圳-南山区
0.8-1.2万/月,生物信息工程师（肿瘤方向）,深圳-南山区
1.5-2万/月,电商平台运维工程师,深圳-南山区
0.8-1.5万/月,测试工程师（可视化方向）,深圳
1.2-1.5万/月,数据库管理员（DBA）,深圳-福田区
0.6-1万/月,RD2-测试工程师（客户端）,深圳-南山区
0.6-1.6万/月,中/高级运维工程师,深圳-南山区
1-2万/月,Android开发工程师,深圳-南山区
1-1.5万/月,测试工程师（接口、自动化）,深圳-福田区
1-3万/月,Cocos2d-x开发工程师,深圳-南山区
0.6-1.2万/月,手机自动化测试,深圳-南山区
4.5-6千/月,DBA/数据库运维工程师实习生,深圳-宝安区
5-7千/月,数据分析助理,深圳-福田区
1.5-2.5万/月,数字芯片设计工程师/Digital IC Design Engineer,深圳-宝安区
1.3-2万/月,数据挖掘工程师,深圳
1-1.5万/月,SA Java,深圳-南山区
5.5-8千/月,软件工程师,深圳-宝安区
5.5-8.5千/月,项目实施工程师,深圳-福田区
1.5-2万/月,进化论资产量化团队招聘,深圳-南山区
0.7-1.5万/月,服务器开发工程师,深圳-南山区
1-1.5万/月,中高级测试工程师,深圳-福田区
2-2.5万/月,Node.js开发工程师,深圳-宝安区
1-1.5万/月,助教-数据科学硕士项目,深圳-龙岗区
0.5-1万/月,应用软件工程师（应届生）,深圳-南山区
0.9-1.8万/月,Java开发工程师,深圳-龙岗区
20-30万/年,软件开发工程师,深圳
1-1.5万/月,IT系统集成,深圳
2-2.5万/月,数据分析算法工程师,深圳-南山区
0.8-1.5万/月,PHP开发工程师,深圳-南山区
4-8千/月,数据分析师,深圳-罗湖区
0.7-1万/月,中级JAVA开发工程师,深圳-南山区
2.5-3万/月,DBA（mysql方向，海外菲律宾）,深圳
1-2万/月,机器学习算法工程师（实习/全职）,深圳-南山区
0.8-1万/月,测试工程师,深圳-宝安区
1-2万/月,嵌入式软件工程师,深圳-南山区
1-1.5万/月,大数据运维工程师,深圳-南山区
0.8-1.5万/月,自动化测试工程师,深圳
1.5-2万/月,机器视觉算法高级工程师,深圳-南山区
4.5-6千/月,初级Java程序员,深圳-宝安区
6-8千/月,初级运维工程师,深圳-南山区
1.5-2万/月,系统开发工程师,深圳-光明新区
1.5-2.5万/月,C++服务器开发 C++游戏开发,深圳-福田区
2-3.5万/月,PHP研发经理,深圳-宝安区
3-4万/月,风控经理,深圳-南山区
1.5-3万/月,高级分析师,深圳-福田区
1.5-2万/月,算法工程师,深圳-南山区
1.5-3万/月,大数据运维工程师(J11123),深圳-福田区
1.5-2.5万/月,反欺诈策略资深分析师,深圳-南山区
2-3万/月,区块链高级开发工程师,深圳-福田区
2.5-3万/月,高级运维经理,深圳-南山区
1-1.5万/月,测试主管,深圳-南山区
0.9-1.1万/月,测试工程师,深圳-南山区
1-2万/月,数据分析师(舆情),深圳-南山区
0.7-1万/月,软件测试工程师,深圳-南山区
4-7千/月,数据分析专员,深圳-龙岗区
1-1.5万/月,测试工程师,深圳-南山区
1.5-2万/月,前端开发工程师,深圳-南山区
0.8-1万/月,测试工程师,深圳-南山区
0.8-1.5万/月,软件测试工程师,深圳-罗湖区
2-2.5万/月,大数据系统开发工程师,深圳
1-1.5万/月,区块链工程师,深圳-福田区
0.8-1万/月,基金研究员,深圳-福田区
1.5-2万/月,Senior Automation Development高级自动化开发工程师,深圳-南山区
1-1.5万/月,C++开发工程师,深圳-南山区
20-30万/年,3D&2D机械视觉应用研发工程师,深圳-南山区
4-6千/月,软件实施工程师（运维事业部）,深圳
1.5-2万/月,系统运维资深工程师,深圳-罗湖区
0.5-1万/月,实施工程师,深圳-南山区
10-15万/年,数据库工程师,深圳-龙华新区
15-30万/年,AI算法工程师,异地招聘
3-4万/月,风控经理,深圳-南山区
1.5-2.5万/月,后台开发工程师,深圳-福田区
0.8-1万/月,系统运维工程师,深圳-罗湖区
0.8-1万/月,GIS开发工程师,深圳-宝安区
1.5-3万/月,大数据存储高级工程师,深圳-南山区
0.7-1万/月,运维开发工程师,深圳-南山区
0.6-1.2万/月,测试工程师（外包）,深圳-福田区
1.3-2万/月,后端开发工程师,深圳-南山区
0.8-1.5万/月,前端开发工程师,深圳-南山区
2-5万/月,量化策略师,深圳-南山区
1-1.5万/月,java高级工程师,深圳
1-1.5万/月,软件工程师,深圳
5-8千/月,GIS数据工程师,深圳
1-2万/月,Java开发工程师,深圳-南山区
2-2.5万/月,高级运维工程师,深圳-福田区
1.5-3万/月,运维经理,深圳
0.9-1.2万/月,高级测试工程师,深圳
2.5-3.5万/月,C++棋牌开发主程,深圳-龙华新区
5-7千/月,网站维护与推广,深圳-福田区
1.5-3万/月,软件开发初级工程师,深圳-南山区
0.8-1万/月,技术支持工程师,深圳-南山区
1-1.5万/月,后台开发工程师,深圳-南山区
1.5-2.5万/月,高级运维工程师,深圳
1.5-2.5万/月,高级测试工程师,深圳-南山区
1-1.5万/月,风险数据建模工程师,深圳-福田区
0.8-1万/月,软件工程师,深圳-宝安区
1-3万/月,运维工程师,深圳-宝安区
1.5-2.5万/月,CIE持续集成工程师,深圳-南山区
0.8-1.5万/月,系统运维工程师,深圳-福田区
1-1.5万/月,运维工程师,深圳-龙岗区
6.5-9千/月,测试工程师,深圳-南山区
6-8千/月,软件测试工程师,深圳-南山区
1.5-2万/月,高级爬虫系统开发工程师,深圳-龙华新区
0.8-1.5万/月,运维工程师,深圳-福田区
2-4万/月,高级邮件系统研发工程师,深圳-南山区
1.8-2.5万/月,PHP开发主管,深圳-南山区
6-8千/月,PHP开发工程师,深圳-罗湖区
0.6-1.2万/月,BI工程师,深圳-龙岗区
0.6-1.2万/月,BI工程师,深圳-龙岗区
2-2.5万/月,自动化测试培训讲师-急聘大牛,深圳-福田区
4-6千/月,Web前端开发工程师,深圳-宝安区
1.5-2万/月,PHP高级开发工程师,深圳-南山区
0.7-1万/月,物联网工程师,深圳
1.4-2.8万/月,软件工程师（图像处理）,深圳
1.3-1.8万/月,量化交易员,深圳
0.6-1万/月,嵌入式产品开发工程师,深圳
1.2-1.5万/月,Android开发工程师（海外）,异地招聘
6-8千/月,SEO专员,深圳-龙岗区
0.8-1.5万/月,Java开发工程师/龙华上班/高薪优遇,深圳-龙华新区
1-1.5万/月,运营分析顾问(J180323031),深圳-南山区
1-1.5万/月,软件工程师/上层软件开发（急招）,深圳-南山区
0.8-1万/月,硬件工程师（研发）,深圳-南山区
0.6-1万/月,数学技术模型工程师,深圳-宝安区
1-2万/月,风控建模工程师,深圳-福田区
1-3万/月,数字芯片设计师,深圳-福田区
0.8-1.6万/月,C,深圳-南山区
1.2-1.7万/月,C#应用开发工程师,深圳-南山区
1-3万/月,数据工程师,深圳-南山区
1.5-2万/月,自动化测试讲师,深圳-宝安区
1.5-2.5万/月,高级软件工程师,深圳-光明新区
1-2万/月,C++/Qt软件开发工程师,深圳
1-2万/月,运维主管,深圳-南山区
2.5-3万/月,系统架构师,深圳-宝安区
6-8千/月,数据分析师,深圳-南山区
1.5-3万/月,区块链开发-数字钱包方向,深圳
6-8千/月,诚聘软件测试工程师,深圳-龙华新区
0.8-1万/月,ARDUINO软件工程师,深圳-宝安区
0.8-1.2万/月,运维工程师,深圳
5-8千/月,電子工程師/工程師助理,深圳
1.2-1.5万/月,软件测试工程师,深圳-宝安区
0.5-1万/月,系统工程师,深圳-坪山区
1.5-3万/月,高级系统开发工程师,深圳-宝安区
1-1.5万/月,信息安全工程师,深圳-龙岗区
1-2万/月,后台开发工程师,深圳-龙岗区
2.5-3万/月,通信工程师（海外职位）,异地招聘
3-4万/月,cocos2d-x高级开发工程师,深圳-南山区
0.6-1万/月,软件测试工程师（智能穿戴/APP测试）,深圳-福田区
0.6-1.5万/月,软件测试工程师,深圳-龙华新区
1-2万/月,小程序开发工程师,深圳-南山区
6-8千/月,数据分析类_---助理工程师岗,深圳-南山区
1.5-2.5万/月,系统运维工程师,深圳-南山区
1-2.5万/月,嵌入式系统逆向分析/反汇编工程师,异地招聘
1.5-2万/月,应用测试岗 （测试管理方向）,深圳-南山区
1-1.5万/月,图像算法工程师/算法工程师,异地招聘
1-1.5万/月,算法工程师,深圳-南山区
1.5-2万/月,APP加固工程师,深圳
0.7-1万/月,C++开发工程师,深圳-宝安区
6-8千/月,FAE工程师,异地招聘
2.7-5.5万/月,云平台高级架构师,深圳-南山区
3-5万/月,技术总监,深圳-南山区
6-8千/月,软件现场支持工程师,深圳-南山区
1.5-1.7万/月,运维经理,深圳
1.8-2.5万/月,运维经理,深圳-龙华新区
2-3.5万/月,JAVA后端（区块链项目）,深圳-南山区
0.8-1.5万/月,全栈工程师,深圳-宝安区
0.6-1万/月,Java软件工程师,深圳
1.2-2万/月,高级嵌入式软件工程师,深圳-南山区
0.9-1.8万/月,前端开发工程师,深圳-南山区
0.7-1.2万/月,高级前端开发工程师,深圳
2-3万/月,安全测试专家（后台服务/客户端）,深圳-南山区
0.8-1万/月,数据分析师/IT技术支持/IT专员,深圳
0.8-1万/月,数据分析专员/数据分析师,深圳-南山区
6-8千/月,服务器工程师,深圳-宝安区
2.5-3万/月,系统架构师,深圳-南山区
2.5-3万/月,系统架构师,深圳-南山区
1-2万/月,全栈工程师,深圳-南山区
1.5-2万/月,数据分析,深圳
1-1.5万/月,软件测试工程师,深圳-福田区
1.5-2万/月,游戏运维工程师,深圳
1-2万/月,视觉算法工程师,深圳-光明新区
1.5-3万/月,C++高级开发工程师,深圳-龙华新区
1-2万/月,数据库管理员(DBA),深圳-宝安区
1-2万/月,机器学习算法工程师,深圳-宝安区
1-1.8万/月,软件系统工程师,异地招聘
2-2.5万/月,高级硬件工程师,深圳-龙华新区
3-4万/月,风控总监,深圳-福田区
3-6千/月,软件实习生,深圳-宝安区
0.8-1.5万/月,上位机软件工程师,深圳-南山区
0.8-1.2万/月,算法工程师,深圳-宝安区
2-4万/月,软件研发总监,深圳-宝安区
1-1.5万/月,音频开发工程师,深圳-光明新区
1-2万/月,博士后研究人员  （AI系统研究方向）,深圳
1-2万/月,高级爬虫工程师,深圳-南山区
0.8-1.5万/月,嵌入式软件工程师,深圳-宝安区
0.8-1.6万/月,嵌入式开发工程师(物联网方向),深圳-宝安区
0.8-2.4万/月,系统运维工程师,深圳-福田区
0.8-1.5万/月,爬虫开发工程师,深圳-龙岗区
0.8-1.3万/月,服务器运维工程师,深圳
1.5-2万/月,云平台高级开发工程师,深圳-南山区
1-1.5万/月,ERP软件工程师,深圳-龙岗区
1-1.7万/月,应用软件工程师,深圳-南山区
6-8千/月,数据分析师助理 文职岗位6k+双休,深圳-福田区
1-2万/月,视觉软件工程师,深圳
0.8-1.2万/月,物联网软件工程师,深圳-南山区
0.8-1.2万/月,测试工程师,深圳-宝安区
1.2-1.5万/月,嵌入式软件工程师,深圳-宝安区
1-2万/月,音频工程师,深圳-龙华新区
0.6-1万/月,软件测试工程师,深圳-宝安区
1.5-2万/月,音频算法专家,深圳-龙岗区
1.5-2万/月,开发工程师（.NET、 C#）,深圳-南山区
1.5-2万/月,JAVA后台开发总监,深圳-宝安区
0.7-1.2万/月,测试开发工程师(通信信道),深圳
1.5-2万/月,PHP高级开发工程师,深圳-福田区
2.5-3万/月,高级算法工程师,深圳-龙华新区
1.5-2万/月,MES经理,深圳-宝安区
2-3万/月,区块链研发工程师,深圳-南山区
2-2.5万/月,机器视觉算法工程师,深圳-宝安区
1.5-2万/月,PHP高级开发工程师技术总监,深圳-南山区
1-1.5万/月,3D打印机软件工程师,深圳-龙岗区
0.8-1.6万/月,测试工程师,深圳-福田区
1.8-2.4万/月,自动化测试工程师,深圳-南山区
6-8千/月,软件工程师,深圳-龙岗区
1.5-2万/月,数据仓库开发工程师（ETL）,异地招聘
1.5-2万/月,运维工程师 --智能硬件技术中心,深圳
0.6-1.5万/月,数据挖掘岗,异地招聘
0.8-1万/月,直通业务部数据分析与挖掘岗,深圳
,阿里云-云业务架构师-深圳区域,深圳
1.2-1.8万/月,Devops开发工程师,异地招聘
,A/SA(AI)-Risk Assurance_GZ/SZ,深圳
1-1.5万/月,风险计量策略岗(003884),深圳-福田区
2-2.5万/月,Advanced Software Engineer,异地招聘
1-3万/月,区块链高级开发工程师,深圳-南山区
2.5-3万/月,资深数据分析与建模工程师,深圳-南山区
6-8千/月,游戏测试工程师,深圳-南山区
0.8-1万/月,软件测试,深圳
1-1.5万/月,项目经理,深圳-龙华新区
6-8千/月,软件测试工程师,深圳-福田区
2-3万/月,全栈工程师,深圳
0.8-1万/月,硬件工程师,深圳-南山区
3-5万/月,高级区块链开发工程师,深圳-福田区
1-1.3万/月,前端开发,异地招聘
1.5-3万/月,c++手游后端工程师,深圳-南山区
0.5-1万/月,Linux工程师,深圳-宝安区
20-30万/年,hadoop工程师,深圳-福田区
1.5-2万/月,互联网开发工程师,深圳-福田区
1.5-2.5万/月,风险政策经理,深圳-龙岗区
1-1.5万/月,erlang(游戏）后端工程师,深圳-南山区
1-1.5万/月,服务器运维工程师,深圳
1-2万/月,Java开发工程师,深圳-龙岗区
1.5-2万/月,web前端工程师,深圳-宝安区
2.5-3万/月,资深安全开发专家,深圳-南山区
1-1.5万/月,安全测试工程师 （软件测试工程师）恒大外包,深圳-南山区
3-5万/月,区块链首席架构师 （高薪急聘）,深圳-南山区
1.5-2万/月,大数据工程师,深圳-福田区
0.6-1万/月,夜班量化交易员,深圳-南山区
6-8千/月,产品经理（武汉）,异地招聘
1-2万/月,运维工程师,深圳-南山区
2-2.5万/月,高级架构设计工程师,深圳-宝安区
2-2.5万/月,算法工程师,深圳-南山区
0.8-1.5万/月,中级前端工程师,深圳
1.5-2.5万/月,区块链工程师,深圳-南山区
0.6-1万/月,中级测试工程师,深圳-福田区
2-4万/月,Computer Vision Engineer,深圳-南山区
1.5-3万/月,大数据开发工程师,深圳-南山区
0.8-1.5万/月,后台开发工程师,深圳
1.5-2.5万/月,高级性能测试工程师,深圳
0.6-1万/月,软件测试工程师,深圳-福田区
0.7-1万/月,软件测试工程师 SQA,深圳-福田区
1.5-2万/月,资深数据分析师,深圳
1-2万/月,机器学习算法工程师,异地招聘
1-2万/月,算法工程师,深圳
0.8-1.5万/月,VFX 特效师,深圳
5-8千/月,硬件运维工程师,深圳-南山区
0.8-1万/月,软件测试工程师,深圳-南山区
1.5-2万/月,项目经理,深圳-南山区
